time,date,hour,precip [mm/day],1234 [m3/s],1234 (observed) [m3/s]
0,2000-01-01,00:00:00.00,---,1,
1,2000-01-02,00:00:00.00,0.0981856,0.5,0.421
2,2000-01-03,00:00:00.00,0.00248637,0,0.421
3,2000-01-04,00:00:00.00,0,0,0.42
4,2000-01-05,00:00:00.00,0,0,0.42
5,2000-01-06,00:00:00.00,0,0,0.42
6,2000-01-07,00:00:00.00,0,0,0.42
7,2000-01-08,00:00:00.00,0,0,0.42
8,2000-01-09,00:00:00.00,0,0,0.42
9,2000-01-10,00:00:00.00,0.298115,0,0.42
10,2000-01-11,00:00:00.00,0,0,0.43
11,2000-01-12,00:00:00.00,0,0,0.44
12,2000-01-13,00:00:00.00,0,0,0.431
13,2000-01-14,00:00:00.00,0,0,0.42
14,2000-01-15,00:00:00.00,0,0,0.42
15,2000-01-16,00:00:00.00,0.00248637,0,0.42
16,2000-01-17,00:00:00.00,0,0,0.42
17,2000-01-18,00:00:00.00,0.00248637,0,0.43
18,2000-01-19,00:00:00.00,11.7691,0,0.476
19,2000-01-20,00:00:00.00,0.13869,0,0.451
20,2000-01-21,00:00:00.00,0.0734788,0,0.45
21,2000-01-22,00:00:00.00,0.586955,0,0.453
22,2000-01-23,00:00:00.00,13.099,0,0.424
23,2000-01-24,00:00:00.00,13.0056,0,0.42
24,2000-01-25,00:00:00.00,0.787048,0,0.42
25,2000-01-26,00:00:00.00,0,0,0.42
26,2000-01-27,00:00:00.00,0,0,0.42
27,2000-01-28,00:00:00.00,0,0,0.42
28,2000-01-29,00:00:00.00,0,0,0.42
29,2000-01-30,00:00:00.00,18.0173,0,0.42
30,2000-01-31,00:00:00.00,22.486,0,0.431
31,2000-02-01,00:00:00.00,0,0,0.42
32,2000-02-02,00:00:00.00,0,0,0.42
33,2000-02-03,00:00:00.00,8.9875,0,0.42
34,2000-02-04,00:00:00.00,0.498075,0,0.42
35,2000-02-05,00:00:00.00,0,0,0.42
36,2000-02-06,00:00:00.00,0,0,0.42
37,2000-02-07,00:00:00.00,0,0,0.42
38,2000-02-08,00:00:00.00,2.09358,0,0.416
