time [d],date,hour,rainfall [mm/day],snowfall [mm/d SWE],Channel Storage [mm],Reservoir Storage [mm],Rivulet Storage [mm],Surface Water [mm],Cum. Losses to Atmosphere [mm],Ponded Water [mm],Soil Water[0] [mm],Soil Water[1] [mm],Soil Water[2] [mm],Snow Melt (Liquid) [mm],Snow [mm],Canopy [mm],Canopy Snow [mm],Glacier Liquid Storage [mm],Glacier Ice [mm], Total [mm], Cum. Inputs [mm], Cum. Outflow [mm], MB Error [mm]
0,2000-01-01,00:00:00.00,---,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2000-01-02,00:00:00.00,0,0.0981856,-1.09602,0,0,0,0.00053962,0,0,0,0.000109355,0,0.0975367,0,0,0,0,-0.997834,0.0981856,1.09602,0
2,2000-01-03,00:00:00.00,0,0.00248637,-1.09602,0,0,0,0.000572714,0,0,0,8.99337e-05,0,0.100009,0,0,0,0,-0.995347,0.100672,1.09602,0
3,2000-01-04,00:00:00.00,0,0,-1.09602,0,0,0,0.000641896,0,0,0,2.07514e-05,0,0.100009,0,0,0,0,-0.995347,0.100672,1.09602,0
4,2000-01-05,00:00:00.00,0,0,-1.09602,0,0,0,0.000662648,0,0,0,0,0,0.100009,0,0,0,0,-0.995347,0.100672,1.09602,0
5,2000-01-06,00:00:00.00,0,0,-1.09602,0,0,0,0.000662648,0,0,0,0,0,0.100009,0,0,0,0,-0.995347,0.100672,1.09602,0
6,2000-01-07,00:00:00.00,0,0,-1.09602,0,0,0,0.000662648,0,0,0,0,0,0.100009,0,0,0,0,-0.995347,0.100672,1.09602,0
7,2000-01-08,00:00:00.00,0,0,-1.09602,0,0,0,0.000662648,0,0,0,0,0,0.100009,0,0,0,0,-0.995347,0.100672,1.09602,0
8,2000-01-09,00:00:00.00,0,0,-1.09602,0,0,0,0.000662648,0,0,0,0,0,0.100009,0,0,0,0,-0.995347,0.100672,1.09602,0
9,2000-01-10,00:00:00.00,0,0.298115,-1.09602,0,0,0,0.00221665,0,0,0,0.000378014,0,0.396192,0,0,0,0,-0.697232,0.398787,1.09602,0
10,2000-01-11,00:00:00.00,0,0,-1.09602,0,0,0,0.00221665,0,0,0,0.000378014,0,0.396192,0,0,0,0,-0.697232,0.398787,1.09602,0
11,2000-01-12,00:00:00.00,0,0,-1.09602,0,0,0,0.00221665,0,0,0,0.000378014,0,0.396192,0,0,0,0,-0.697232,0.398787,1.09602,0
12,2000-01-13,00:00:00.00,0,0,-1.09602,0,0,0,0.00221665,0,0,0,0.000378014,0,0.396192,0,0,0,0,-0.697232,0.398787,1.09602,0
13,2000-01-14,00:00:00.00,0,0,-1.09602,0,0,0,0.00221665,0,0,0,0.000378014,0,0.396192,0,0,0,0,-0.697232,0.398787,1.09602,0
14,2000-01-15,00:00:00.00,0,0,-1.09602,0,0,0,0.00221665,0,0,0,0.000378014,0,0.396192,0,0,0,0,-0.697232,0.398787,1.09602,0
15,2000-01-16,00:00:00.00,0,0.00248637,-1.09602,0,0,0,0.0022465,0,0,0,0.00036184,0,0.398665,0,0,0,0,-0.694746,0.401273,1.09602,0
16,2000-01-17,00:00:00.00,0,0,-1.09602,0,0,0,0.0022465,0,0,0,0.00036184,0,0.398665,0,0,0,0,-0.694746,0.401273,1.09602,0
17,2000-01-18,00:00:00.00,0,0.00248637,-1.09602,0,0,0,0.00226702,0,0,0,0.000354995,0,0.401138,0,0,0,0,-0.69226,0.40376,1.09602,0
18,2000-01-19,00:00:00.00,0,11.7691,-1.09602,0,0,0,0.0842076,0,0,0,0.0181673,0,12.0705,0,0,0,0,11.0768,12.1729,1.09602,1.77636e-15
19,2000-01-20,00:00:00.00,0,0.13869,-1.09602,0,0,0,0.0849236,0,0,0,0.0183369,0,12.2083,0,0,0,0,11.2155,12.3116,1.09602,1.77636e-15
20,2000-01-21,00:00:00.00,0,0.0734788,-1.09602,0,0,0,0.0852086,0,0,0,0.0184153,0,12.2814,0,0,0,0,11.289,12.385,1.09602,3.55271e-15
21,2000-01-22,00:00:00.00,0,0.586955,-1.09602,0,0,0,0.0890828,0,0,0,0.0192707,0,12.8636,0,0,0,0,11.876,12.972,1.09602,5.32907e-15
22,2000-01-23,00:00:00.00,0,13.099,-1.09602,0,0,0,0.173975,0,0,0,0.0381324,0,25.8589,0,0,0,0,24.975,26.071,1.09602,-7.10543e-15
23,2000-01-24,00:00:00.00,0,13.0056,-1.09602,0,0,0,0.255882,0,0,0,0.0565771,0,38.7642,0,0,0,0,37.9806,39.0766,1.09602,-1.42109e-14
24,2000-01-25,00:00:00.00,0,0.787048,-1.09602,0,0,0,0.26039,0,0,0,0.0576295,0,39.5457,0,0,0,0,38.7677,39.8637,1.09602,7.10543e-15
25,2000-01-26,00:00:00.00,0,0,-1.09602,0,0,0,0.26039,0,0,0,0.0576295,0,39.5457,0,0,0,0,38.7677,39.8637,1.09602,7.10543e-15
26,2000-01-27,00:00:00.00,0,0,-1.09602,0,0,0,0.26039,0,0,0,0.0576295,0,39.5457,0,0,0,0,38.7677,39.8637,1.09602,7.10543e-15
27,2000-01-28,00:00:00.00,0,0,-1.09602,0,0,0,0.26039,0,0,0,0.0576295,0,39.5457,0,0,0,0,38.7677,39.8637,1.09602,7.10543e-15
28,2000-01-29,00:00:00.00,0,0,-1.09602,0,0,0,0.26039,0,0,0,0.0576295,0,39.5457,0,0,0,0,38.7677,39.8637,1.09602,7.10543e-15
29,2000-01-30,00:00:00.00,0,18.0173,-1.09602,0,0,0,0.389253,0,0,0,0.085682,0,57.4061,0,0,0,0,56.785,57.881,1.09602,0
30,2000-01-31,00:00:00.00,0,22.486,-1.09602,0,0,0,0.535629,0,0,0,0.118743,0,79.7127,0,0,0,0,79.271,80.367,1.09602,1.42109e-14
31,2000-02-01,00:00:00.00,0,0,-1.09602,0,0,0,0.535827,0,0,0,0.118545,0.0119714,79.7007,0,0,0,0,79.271,80.367,1.09602,1.42109e-14
32,2000-02-02,00:00:00.00,0,0,-1.09602,0,0,0,0.536131,0,0,0,0.118241,0.686147,79.0265,0,0,0,0,79.271,80.367,1.09602,0
33,2000-02-03,00:00:00.00,0,8.9875,-1.09602,0,0,0,0.59727,0,0,0,0.131598,0.0222558,88.6034,0,0,0,0,88.2585,89.3545,1.09602,-2.84217e-14
34,2000-02-04,00:00:00.00,0,0.498075,-1.09602,0,0,0,0.600783,0,0,0,0.132334,0,89.1195,0,0,0,0,88.7566,89.8526,1.09602,-4.26326e-14
35,2000-02-05,00:00:00.00,0,0,-1.09602,0,0,0,0.600811,0,0,0,0.132305,0,89.1195,0,0,0,0,88.7566,89.8526,1.09602,-4.26326e-14
36,2000-02-06,00:00:00.00,0,0,-1.09602,0,0,0,0.60105,0,0,0,0.132066,0.0135724,89.1059,0,0,0,0,88.7566,89.8526,1.09602,-2.84217e-14
37,2000-02-07,00:00:00.00,0,0,-1.09602,0,0,0,0.601281,0,0,0,0.131836,0.0334824,89.086,0,0,0,0,88.7566,89.8526,1.09602,-2.84217e-14
38,2000-02-08,00:00:00.00,0,2.09358,-1.09602,0,0,0,0.616358,0,0,0,0.135026,0,91.1948,0,0,0,0,90.8502,91.9462,1.09602,-2.84217e-14
39,2000-02-09,00:00:00.00,0,15.967,-1.09602,0,0,0,0.731804,0,0,0,0.159871,0,107.022,0,0,0,0,106.817,107.913,1.09602,-4.26326e-14
40,2000-02-10,00:00:00.00,0,8.13806,-1.09602,0,0,0,0.788338,0,0,0,0.17231,0,115.091,0,0,0,0,114.955,116.051,1.09602,1.42109e-14
41,2000-02-11,00:00:00.00,0,0.472857,-1.09602,0,0,0,0.790283,0,0,0,0.172803,0,115.561,0,0,0,0,115.428,116.524,1.09602,-4.26326e-14
42,2000-02-12,00:00:00.00,0,1.07167,-1.09602,0,0,0,0.796345,0,0,0,0.17417,0,116.625,0,0,0,0,116.5,117.596,1.09602,-1.42109e-14
43,2000-02-13,00:00:00.00,0,0,-1.09602,0,0,0,0.796356,0,0,0,0.174159,0,116.625,0,0,0,0,116.5,117.596,1.09602,-1.42109e-14
44,2000-02-14,00:00:00.00,0,8.35168,-1.09602,0,0,0,0.848946,0,0,0,0.186053,0,124.912,0,0,0,0,124.851,125.947,1.09602,-4.26326e-14
